name,operatorAddress
Evmosis,evmosvaloper1t2qca5lssa3vzcvacfeck0wrtq5sqq6upz2h07
Suntzu | AZclub.pro,evmosvaloper1g42a23klcwhdmmkmq43d8awe6xdtsuk6nlaevz
SweepStake,evmosvaloper1862ed57tg9vrjm34r03n0l427ufzj3z8nmqwp7
Validape x GT Capital,evmosvaloper1yqj0hqaw7694nwa2cumusrqqqhnsemdgutns7p
Illuminati,evmosvaloper13rh82yhf4zzf9n44e32e7r30ackggkvu6ps426
Merak.run,evmosvaloper1k35wzk4slyz2ly9wycjqjs5ed7mwjl2y7msgdz
BlockBlimp,evmosvaloper18ukxy5rl8w8wjkwlm029v05mz5pa6yj893427x
MCB | mcbnode,evmosvaloper1gp3smgnl92elvknutdz4jvc0yfjfhz9gs8c8yd
Kynraze,evmosvaloper1xskpkvmc8chtvgy5zv4wzf3mkrjnmke8ddgftk
Noderunners,evmosvaloper1y96y6awujpq8sz4vd2rvejxs25mhrs6fqt0lkv
AG_Node_Evmos,evmosvaloper1lfywrrzgt0dmhuhxfn0ahn6909x0pgwuxgnwcz
Please Redelegate,evmosvaloper1fw57tpm54qnapgwc3raajhvej7xsztdmyxp30a
Reality Flux | NFTSwitch.xyz,evmosvaloper1n4zajqylnmk7kmnymq4ceynzlkq68j9l6qrxmg
Do Not Delegate - [Discontinued],evmosvaloper1m9h4m6d8nw8fjewsqjtkv9zzk7jc5cxhpn73up
sff-stake,evmosvaloper10ylvjl494au5y2xymx2jq0faackekkrvtqw8g0
Please Redelegate Elsewhere,evmosvaloper187860d5xukeksge9jz3wwff7h68asdafxdxh4r
PLEASE REDELEGATE - Flipside,evmosvaloper1myawyc7skexkafq43sdj8n4wah3fdgt9lhkmeh
stake-machine.com,evmosvaloper1gk9cqangsfrd8dd92fyplmpqhft0zk0fa5ctjk
